Users;Name of Satellite, Alternate Names;Country of Operator/Owner
Commercial;1HOPSAT-TD (1st-generation High Optical Performance Satellite);USA
Civil;3Cat-1;Spain
Civil;Aalto-1 ;Finland
Civil;AAUSat-4;Denmark
Commercial;ABS-2 (Koreasat-8, ST-3);Multinational
Commercial;ABS-2A;Multinational
Commercial;ABS-3A ;Multinational
Commercial;ABS-4 (ABS-2i, MBSat, Mobile Broadcasting Satellite, Han Byul);Multinational
Commercial;ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1);Multinational
Commercial;ABS-7 (Koreasat 3, Mugungwha 3);Multinational
Military;Advanced Orion 2 (Mentor, NROL 6, USA 139);USA
Military;Advanced Orion 3 (Mentor, NROL 19, USA 171);USA
Military;Advanced Orion 4 (Mentor, NRO L-26, USA 202);USA
Military;Advanced Orion 5 (Mentor, NRO L-32, USA 223);USA
Military;Advanced Orion 6 (Mentor, NRO L-15, USA 237);USA
Military;Advanced Orion 7 (Mentor, NRO L-37, USA 268);USA
Military;AEHF-2 (Advanced Extremely High Frequency satellite-2, USA 235);USA
Military;AEHF-3 (Advanced Extremely High Frequency satellite-3, USA 246);USA
Military;AEHF-4 (Advanced Extremely High Frequency satellite-4, USA 288);USA
Military;AEHF-5 (Advanced Extremely High Frequency satellite-5, USA 292);USA
Military;AEHF-6 (Advanced Extremely High Frequency satellite-6, USA 298);USA
Government;Aeneas;USA
Government;Aeolus;ESA
Commercial;Aerocube 10A (Jimsat);USA
Commercial;Aerocube 10B (Dougsat);USA
Commercial;Aerocube 11A (TOMSat Eagle Scout);USA
Commercial;Aerocube 11B (TOMSat R3);USA
Commercial;Aerocube 12A;USA
Commercial;Aerocube 12B;USA
Military;Aerocube 14A;USA
Military;Aerocube 14B;USA
Military;Aerocube 15A;USA
Commercial;Aerocube 5C;USA
Commercial;Aerocube 6A;USA
Commercial;Aerocube 6B;USA
Commercial;Aerocube 7A;USA
Commercial;Aerocube 8A;USA
Commercial;Aerocube 8B;USA
Commercial;Aerocube 8D;USA
Commercial;Afghansat-1 (Eutelsat 48D [Eutelsat 48B, Eutelsat W2M]);Multinational
Government;AIM (Aeronomy of Ice in Mesosphere);USA
Government;AISat-1;Germany
Government;AISSat-1 (Automatic Identification System Satellite-1);Norway
Government;AISSat-2 (Automatic Identification System Satellite-2);Norway
Commercial/Civil;AIST-1;Russia
Commercial/Civil;AIST-2;Russia
Commercial/Civil;AIST-2D;Russia
Commercial;AISTechSat-2;Spain
Commercial;AISTechSat-3;Spain
Commercial;Al Yah-3;United Arab Emirates
Government;Alcomsat (Algerian Communications Satellite);Algeria
Commercial;ALE-2 (Astro Live Experiences-2);Japan
Civil;Al-Farabi-2;Kazakhstan
Military;ALiCE  (AFIT LEO iMESA CNT E);USA
Government;Alsat 2B;Algeria
Government;Alsat-1B;Algeria
Government;AlSat-1N;Algeria
Government;Alsat-2A (Algeria Satellite 2A);Algeria
Commercial;Amazonas-2;Spain
Commercial;Amazonas-3;Spain
Commercial;Amazonas-4A;Spain
Commercial;Amazonas-5;Spain
Commercial;AMC-1 (Americom 1, GE-1);USA
Commercial;AMC-11 (Americom-11, GE 11);USA
Commercial;AMC-15 (Americom-15);USA
Commercial;AMC-16 (Americom-16);USA
Commercial;AMC-18 (Americom 18);USA
Commercial;AMC-2 (Americom 2, GE-2);USA
Commercial;AMC-21 (Americom 21);USA
Commercial;AMC-4 (Americom-4, GE-4);USA
Commercial;AMC-6 (Americom-6, GE-6);USA
Commercial;AMC-8 (Americom-8, GE-8, Aurora 3);USA
Civil;AmGU-1 (AmurSat-1);Russia
Military/Commercial;Amos 17;Israel
Military/Commercial;Amos 3;Israel
Military/Commercial;Amos 4;Israel
Civil;Amsat-Oscar 7 (AO-7);USA
Government;ANGELS (Argos Neo on a Generic Economical and Light Satellite);ESA
Commercial;Anik F1 ;Canada
Commercial;Anik F1R;Canada
Commercial;Anik F2 ;Canada
Commercial;Anik F3;Canada
Commercial;Anik G1;Canada
Civil;Aoba-VELOX 4;Japan
Commercial;AprizeSat 1 (LatinSat-C);Argentina
Commercial;AprizeSat 10 (exactView-13);USA/Argentina
Commercial;AprizeSat 2 (LatinSat-D);Argentina
Commercial;AprizeSat 3 ;USA/Argentina
Commercial;AprizeSat 4 ;USA/Argentina
Commercial;AprizeSat 5;Canada
Commercial;AprizeSat 7;Canada
Commercial;AprizeSat 8 (exactView-12);USA/Argentina
Commercial;AprizeSat 9 (exactView-11);Canada
Commercial;Apstar 6;China
Commercial;Apstar 6C;China
Commercial;Apstar 7;China
Commercial;Apstar 9;China
Government;Arabsat 5C;Multinational
Commercial;Arabsat 6A;Multinational
Commercial;Arabsat 7F (Nimiq 1) ;Multinational
Commercial;Arkyd-6A;USA
Civil;ARMADILLO (Attitude Related Maneuvers and Debris Instrument in Low (L) Orbit);USA
Commercial;ArSat 1;Argentina
Commercial;ArSat 2;Argentina
Commercial;AsiaSat-3S (Asiasat 3SA);China
Commercial;AsiaSat-5;China
Commercial;AsiaSat-6 (Thaicom-7);China
Commercial;AsiaSat-7;China
Commercial;AsiaSat-8;China
Commercial;AsiaSat-9;China
Commercial;AsiaStar ;USA
