Rating,Surname,Name,Country,Weight,Sex
1,Alvarez, Canelo,MX,168,Male
2,Shields, Claressa,US,154,Female
3,McCaskill, Jessica,US,147,Female
4,Estrada, Seniesa,US,105,Female
5,Serrano, Amanda,PR,126,Female
6,Marshall, Savannah,GB,160,Female
7,Taylor, Katie,IE,135,Female
8,Mayer, Mikaela,US,130,Female
9,Inoue, Naoya,JP,118,Male
11,Lomachenko, Vasyl,UA,135,Male
12,Crawford, Terence ,US,147,Male
14,Spence Jr, Errol,US,147,Male
15,Taylor, Josh,GB,140,Male
16,Shigeoka, Ginjiro,JP,105,Male
17,Estrada, Juan Francisco,MX,115,Male
18,Beterbiev, Artur,RU,175,Male
19,Ortiz Jr, Vergil,US,147,Male
20,Lopez, Teofimo ,US,135,Male
21,Ennis, Jaron,US,147,Male
22,Ramirez, Jose,US,140,Male
23,Haney, Devin,US,135,Male
24,Gonzalez, Roman,NI,115,Male
25,Bivol, Dmitry,RU,175,Male
26,Stevenson, Shakur,US,130,Male
27,Martinez, Julio Cesar,MX,112,Male
28,CP Freshmart, Knockout,TH,105,Male
29,Briedis, Mairis,LV,200,Male
30,Castano, Brian,AR,154,Male
31,Dalakian, Artem,UA,112,Male
32,Prograis, Regis,US,140,Male
33,Berchelt, Miguel,MX,130,Male
34,Menayothin, Wenhang,TH,105,Male
35,Esparza, Marlen,US,112,Female
36,Cameron, Chantelle,GB,140,Female
37,Fujioka, Naoko,JP,112,Female
38,Juarez, Lourdes,MX,115,Female
40,Tszyu, Tim,AU,154,Male
41,Kambosos Jr, George,AU,135,Male
42,Davis, Gervonta ,US,135,Male
43,Charlo, Jermell,US,154,Male
44,Valdez, Oscar,MX,130,Male
47,Garcia, Ryan,US,135,Male
48,Benavidez, David,US,168,Male
49,Berlanga, Edgar,US,168,Male
50,Russell Jr, Gary,US,126,Male
51,Madrimov, Israil,UZ,154,Male
52,Akhmadaliev, Murodjon,UZ,122,Male
53,Buatsi, Joshua,GB,175,Male
54,Figueroa , Brandon,US,122,Male
55,Galahad, Kid,GB,126,Male
56,Gongora, Carlos,EC,168,Male
57,Okolie, Lawrence,GB,200,Male
58,Saunders, Billy Joe,GB,168,Male
59,Yafai, Kal,GB,115,Male
60,Rodriguez, Jesse,US,115,Male
63,Charlo, Jermall,US,160,Male
64,Conwell, Charles,US,154,Male
65,Golovkin, Gennadiy,KZ,160,Male
67,Alimkhanuly, Janibek,KZ,160,Male
68,Herring, Jamel ,US,130,Male
69,Jacobs, Daniel,US,168,Male
70,Plant, Caleb,US,168,Male
71,Santa Cruz, Leo ,MX,130,Male
72,Thurman, Keith,US,147,Male
73,Diaz, JoJo,US,135,Male
74,Bohachuk, Serhii,UA,154,Male
76,Ancajas, Jerwin,PH,115,Male
77,Andrade, Demetrius,US,160,Male
78,Barboza Jr, Arnold ,US,140,Male
79,Besputin, Alexander,RU,147,Male
80,Casimero, John Riel,PH,118,Male
81,Colbert, Chris,US,130,Male
82,Donaire, Nonito,PH,118,Male
83,Dorticos, Yuniel,CU,200,Male
84,Edwards, Sunny,GB,112,Male
85,Franco, Joshua,US,115,Male
86,Alvarado, Felix,NI,108,Male
87,Ioka, Kazuto,JP,115,Male
88,Kyoguchi, Hiroto,JP,108,Male
89,Lubin, Erickson,US,154,Male
90,Magsayo, Mark ,PH,126,Male
91,Makabu, Ilunga,CG,200,Male
92,Mendez, Wilfredo,PR,105,Male
93,Morrell, David,CU,168,Male
94,Mthalane, Moruti,ZA,112,Male
95,Nakatani, Junto,JP,112,Male
96,Navarrete, Emanuel,MX,126,Male
97,Nery, Luis,MX,122,Male
98,Oubaali, Nordine,FR,118,Male
99,Rakhimov, Shavkat,RU,130,Male
100,Sanchez, Saul,US,118,Male
101,Smith, Callum,GB,175,Male
102,Tanaka, Kosei,JP,115,Male
103,Teraji, Kenshiro,JP,108,Male
104,Vargas, Rey,MX,122,Male
105,Villa, Ruben,US,126,Male
106,Zepeda, Jose,US,140,Male
107,Fulton, Stephen,US,122,Male
108,Roman, Daniel,US,122,Male
109,Cieslak, Michal,PL,200,Male
110,Aleem, Raeese,US,122,Male
111,Nontshinga, Sivenathi,ZA,108,Male
112,Sor Rungvisai, Srisaket,TH,115,Male
113,Smith Jr, Joe,US,175,Male
114,Postol, Viktor,UA,140,Male
115,Rodriguez, Emmanuel,PR,118,Male
116,Dicaire, Marie Eve,CA,154,Female
118,Braekhus, Cecilia,NO,147,Female
119,Ibarra, Alma,MX,154,Female
120,Bermudez, Daniela,AR,126,Female
121,Cruz, Erika,MX,126,Female
122,Jonas, Tasha,GB,135,Female
123,Zamora, Ibeth,MX,112,Female
124,Farias, Erica Anabella,AR,130,Female
125,Bermudez, Evelin,AR,108,Female
126,Ramirez, Gilberto,MX,175,Male
127,Urbina, Sulem,MX,112,Female
128,Fundora, Gabriela,US,112,Female
129,Mercado, Yamileth,MX,122,Female
130,Han, Jennifer,US,135,Female
131,Yabuki, Masamichi,JP,108,Male
132,Mitchell, Jamie,US,118,Female
133,McGee, Mary,US,140,Female
134,Hamadouche, Maiva,FR,130,Female
135,Baumgardner, Alycia,US,130,Female
136,Reis, Kali,CA,140,Female
137,Camara, Jessica ,CA,140,Female
138,Sharipova, Firuza,KZ,135,Female
140,Zepeda, William,MX,135,Male
141,Smith, Liam,GB,154,Male
142,Garcia, Danny,US,147,Male
143,Commey, Richard,GH,135,Male
144,Rosario, Jeison,DO,154,Male
145,Stanionis, Eimantas,LT,147,Male
146,Rivera, Michel,DO,135,Male
148,Fundora, Sebastian,US,154,Male
149,Cruz, Isaac,MX,135,Male
150,Gausha, Terrell,US,154,Male
151,Ramos, Jesus,US,154,Male
152,Kovalev, Sergey,RU,175,Male
153,Kurbanov, Magomed,RU,154,Male
